"","Name","Code","Year","Month","Population","LST_Day","NDVI","EVI","Precip","AvgRad","SWOccurrence","pland_forest","area_mn_forest","te_forest","enn_mn_forest"
"5435","Ibaté",3300506,2021,12,24469.5352112649,25.6260570177109,0.704234820121522,0.44307601542196,112.473827585881,1.0430783399097,11.7327169593044,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5436","Ibirá",3300605,2021,12,31396.7183098626,29.7595005759803,0.646732900592397,0.424779960464799,86.3487132847567,0.679773577012733,28.2680392377891,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5437","Ibirarema",3300704,2021,12,235061.126760561,30.7007002397027,0.593123866238546,0.372990484397375,88.050038933748,4.80939500635478,69.0258020402495,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5438","Ibitinga",3300803,2021,12,52485.8873239383,27.8101649748896,0.804536192965682,0.502194209522339,118.158421675807,0.624566677178104,8.43423235030669,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5439","Ibiúna",3300902,2021,12,13126.7746478873,28.8137202417254,0.641967990870724,0.425088489218413,89.7367973953241,0.464049679070129,53.2413500305151,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5440","Icém",3300936,2021,12,18118.0985915482,31.1697161471072,0.653643400815604,0.439215613231685,90.3491454726015,1.23003065457917,47.5333607074139,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5441","Iepê",3300951,2021,12,7891.32394366195,27.668092489072,0.646165881046132,0.452680058705855,109.024022678834,1.09312323057223,52.7793545677587,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5442","Igaraçu do Tietê",3301009,2021,12,457392.647887323,30.3140411574392,0.667291678357613,0.364555127652999,83.9804246527323,1.25519819632946,48.5810588981792,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5443","Igarapava",3301108,2021,12,16690,28.184961722858,0.649865456143299,0.425125414348906,99.2929611501127,0.627837042779937,43.673268043063,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5444","Igaratá",3301157,2021,12,10792.8732394379,30.9538277267868,0.577789220901355,0.37745014915196,77.6510382530177,0.555246111615647,22.4084327004032,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
